brand,product_name,price
HP,Pavilion 15-EC Ryzen 5 Quad Core - (8 GB/1 TB HDD/12...,49990
Lenovo,Ideapad S145 APU Dual Core A6 - (4 GB/1 TB HDD/W...,18990
Asus,VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD...,49990
Lenovo,Ideapad 130 Core i3 7th Gen - (4 GB/1 TB HDD/DOS...,25990
HP,15s Core i3 8th Gen - (8 GB/1 TB HDD/Windows 10 Home...,36990
HP,15q APU Dual Core A9 - (4 GB/1 TB HDD/Windows 10 Hom...,22990
HP,15q Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home...,43990
Asus,VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD...,51990
Lenovo,Ideapad S145 APU Dual Core A6 - (4 GB/1 TB HDD/W...,19990
Acer,Swift 3 Core i5 8th Gen - (8 GB/512 GB SSD/Windows...,54990
HP,14q Core i3 7th Gen - (8 GB/256 GB SSD/Windows 10 Ho...,32490
Lenovo,ideapad S145 Core i5 8th Gen - (8 GB/1 TB HDD/DO...,35490
HP,15 Pentium Gold - (4 GB/1 TB HDD/Windows 10 Home) 15...,22490
Lenovo,APU Dual Core A6 - (4 GB/1 TB HDD/Windows 10 Hom...,17990
Acer,Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows...,47990
Asus,VivoBook Gaming Core i7 9th Gen - (16 GB + 32 GB O...,72990
HP,15q Ryzen 5 Quad Core - (4 GB/1 TB HDD/Windows 10 Ho...,31990
HP,Notebook Core i3 8th Gen - (4 GB/1 TB HDD/Windows 10...,31490
HP,14q Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home...,41790
Asus,VivoBook Gaming Core i5 9th Gen - (8 GB + 32 GB Op...,54990
Avita,Liber Core i5 8th Gen - (8 GB/256 GB SSD/Windows ...,41990
Lenovo,Ideapad 130 Core i5 8th Gen - (8 GB/1 TB HDD/Win...,39990
Asus,VivoBook 14 APU Quad Core A12 - (8 GB/512 GB SSD/W...,27990
HP,15 Core i3 8th Gen - (8 GB/1 TB HDD/Windows 10 Home)...,34297
Lenovo,Ideapad S145 Core i3 10th Gen - (4 GB/256 GB SSD...,32990
Dell,G3 Series Core i5 8th Gen - (8 GB/1 TB HDD/128 GB ...,57990
HP,14q APU Dual Core A9 - (4 GB/256 GB SSD/Windows 10 H...,19990
HP,14q APU Dual Core A6 - (4 GB/256 GB SSD/Windows 10 H...,20490
Lenovo,Ideapad 130 Core i3 7th Gen - (4 GB/1 TB HDD/Win...,25990
Dell,14 3000 Core i3 7th Gen - (4 GB/1 TB HDD/Linux) in...,25490
HP,15q Core i3 7th Gen - (8 GB/1 TB HDD/DOS) 15q-ds0017...,30990
HP,15 Core i3 8th Gen - (4 GB/1 TB HDD/Windows 10 Home)...,29445
Asus,TUF Gaming Ryzen 5 Quad Core - (8 GB/1 TB HDD/Wind...,46990
HP,15s Ryzen 3 Dual Core - (4 GB/256 GB SSD/Windows 10 ...,28990
Acer,Aspire 5 Core i3 7th Gen - (4 GB/1 TB HDD/Windows ...,27990
HP,15 Core i3 7th Gen - (8 GB/1 TB HDD/Windows 10 Home)...,35990
Acer,Nitro 5 Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SS...,62990
Dell,Vostro 3000 Core i5 8th Gen - (8 GB/1 TB HDD/Windo...,40990
Lenovo,Core i7 8th Gen - (8 GB/1 TB HDD/Windows 10 Home...,52990
Lenovo,Ideapad S145 Ryzen 3 Dual Core - (4 GB/1 TB HDD/...,25490
